REL_R,RF_R,INPC_R,PFC_R,WCC_R
0.98,0.444444,187.044012,0.105288,0.159336
0.965,0.511111,0.0,0.099389,0.21994
0.96,0.533333,0.0,0.012956,0.512525
0.975,0.422222,195.233958,0.077237,0.196286
0.945,0.288889,0.0,0.019393,0.465394
0.975,0.4,293.383345,0.091356,0.186477
0.965,0.133333,193.763941,0.083387,0.440403
0.98,0.444444,279.870414,0.125776,0.159342
0.975,0.444444,193.523519,0.108472,0.159528
0.955,0.088889,180.96965,0.126536,0.070229
0.975,0.622222,184.969138,0.07872,0.260049
0.975,0.422222,195.06297,0.077717,0.195662
0.935,0.133333,0.0,0.041287,0.108641
0.935,0.311111,0.0,0.020565,0.469667
0.97,0.466667,84.028082,0.055734,0.476408
0.96,0.177778,143.241418,0.100691,0.121282
0.905,0.0,0.0,0.107134,0.06159
0.975,0.422222,127.880307,0.074328,0.466287
0.92,0.0,83.268662,0.118257,0.056786
0.975,0.177778,241.024639,0.197815,0.171338
0.975,0.222222,292.236034,0.091768,0.183995
0.975,0.222222,286.792059,0.104067,0.170311
0.97,0.288889,282.408322,0.155124,0.098927
0.97,0.266667,185.162801,0.148603,0.150566
0.97,0.333333,120.735033,0.098022,0.184461
0.96,0.044444,269.713048,0.138001,0.039347
0.95,0.066667,90.127888,0.119164,0.079694
0.975,0.377778,184.951519,0.100234,0.14113
0.975,0.4,195.233958,0.077237,0.225591
0.975,0.377778,68.53536,0.103611,0.172287
0.98,0.444444,132.32274,0.076026,0.27072
0.975,0.488889,237.164758,0.133605,0.113031
0.975,0.4,297.707927,0.09209,0.195632
0.975,0.444444,121.095621,0.07739,0.25937
0.955,0.111111,123.418151,0.081211,0.083767
0.935,0.0,123.418151,0.082282,0.03711
0.97,0.577778,170.300127,0.052401,0.305192
0.97,0.133333,234.977715,0.30349,0.492943
0.975,0.266667,287.210837,0.151206,0.100654
0.97,0.377778,251.574993,0.115304,0.113183
0.915,0.0,0.0,0.044656,0.116969
0.915,0.088889,0.0,0.056031,0.086133
0.975,0.2,297.707927,0.152983,0.103294
0.9,0.088889,0.0,0.0,0.569967
0.96,0.2,64.065343,0.073676,0.128728
0.98,0.444444,293.840737,0.117549,0.159214
0.945,0.022222,0.0,0.118543,0.079963
0.975,0.4,279.828047,0.137662,0.155625
0.95,0.088889,0.0,0.063172,0.117762
0.975,0.377778,194.292328,0.095935,0.150429
0.975,0.377778,185.287872,0.09543,0.152164
0.975,0.6,197.970297,0.061681,0.271037
